,from_state,to_state,from_day,time_interval_mean,time_interval_count
0,4,8,0,8.100,97
1,4,8,1,8.057,65
2,4,8,2,8.000,37
3,4,8,3,8.000,22
4,4,8,4,8.000,19
5,4,8,5,8.000,8
6,4,8,6,8.000,4
7,4,8,7,8.000,3
8,4,8,8,8.000,3
9,4,8,9,8.000,2
