OBJECTID,NAME,ADDRESS,AREA_CODE,PHONE,SUITE,ST_NUM,PREFIX,STREET,CLASS,ID,X,Y,FIRE_ID,ZIP_ID,TYPE,SUFFIX,EDITOR,EDIT_DATE,STATE,CITY_ID,POLICE_ID_RMS,EXCLUDE,GLOBALID,SUBCLASS
4126,TCC ACAD COMPUTING CENTER,444 APPLEYARD DR,,201-8265,,444,,APPLEYARD,TCC,7378,-84.34038836,30.44661379,402,32304,DR,,PENCEP,,FL,TALLAHASSEE,17,,{DDAC62C3-CCAC-4935-865B-923EC5334A59},
4127,TCC ACAD SUPPORT BLDG,444 APPLEYARD DR,,201-8505,,444,,APPLEYARD,TCC,7379,-84.34094994,30.44553637,402,32304,DR,,PENCEP,8/2/2017 0:00,FL,TALLAHASSEE,17,,{A6049385-40BF-49E4-8FC6-795D81D6C2DB},
4128,TCC ADMIN BLDG,444 APPLEYARD DR,,201-6200,,444,,APPLEYARD,TCC,7380,-84.33894609,30.44389489,402,32304,DR,,PENCEP,,FL,TALLAHASSEE,17,,{A933BC21-066D-40CF-9C69-4F45E3C410D8},
4129,LCSB PROPERTY MANAGEMENT,3374 W THARPE ST,,488-8410,,3374,W,THARPE,GOV,4697,-84.35677813,30.46418239,800,32303,ST,,PENCEP,3/21/2016 0:00,FL,TALLAHASSEE,17,,{FE7B0BB8-8699-4298-9102-8632E19C1759},210
4130,LCSB TECHNOLOGY INFORMATION,520 APPLEYARD DR,,487-7530,,520,,APPLEYARD,GOV,4698,-84.33859818,30.44035728,400,32304,DR,,PENCEP,3/21/2016 0:00,FL,TALLAHASSEE,14,,{D3B02F8E-FAB6-4DF9-A2A7-4376ACA8A8EB},150
4131,LEON CO SHERIFFS OFFICE AVIATION,3274 CAPITAL CIR SW,,606-3230,,3274,,CAPITAL ,LAW,4699,-84.35026795,30.39586145,500,32310,CIR,SW,PENCEP,2/7/2017 0:00,FL,TALLAHASSEE,12,,{FABFD81A-0CE3-4E92-8932-BA9DF3384E9A},
4132,LANE P SMITH,241 JOHN KNOX RD,,386-4455,#200,241,,JOHN KNOX,COM,4569,-84.28121535,30.47431068,201,32303,RD,,PENCEP,5/5/2014 0:00,FL,TALLAHASSEE,19,,{3451F631-1774-4414-9F46-14F275084854},
4133,LANG ENVIRONMENTAL,1400 ORANGE AVE W,,622-8311,#03,1400,,ORANGE,COM,4570,-84.30719326,30.41300597,303,32310,AVE,W,PENCEP,,FL,TALLAHASSEE,13,,{BF062DA0-1C4E-4EA2-89E0-17BB928D5588},
4134,LANIGAN & ASSOCIATES,1292 TIMBERLANE RD,,893-8418,A,1292,,TIMBERLANE,COM,4571,-84.2580942,30.50415201,900,32312,RD,,PENCEP,12/20/2019 0:00,FL,TALLAHASSEE,1,,{376455B9-CBE2-430A-AEA1-36A116962AAA},599
4135,LARRY J OVERTON & ASSOCIATES,101 E COLLEGE AVE,,224-2859,#302,101,E,COLLEGE,COM,4573,-84.28171559,30.440537,105,32301,AVE,,PENCEP,,FL,TALLAHASSEE,15,,{632B74AC-0FA5-4813-9954-CB314C2F7BD1},
4136,LARRY O BARLOWPHD,860 PARK AVE E,,681-3639,,860,,PARK,COM,4574,-84.26754601,30.44198692,104,32301,AVE,E,PENCEP,,FL,TALLAHASSEE,5,,{F16F8858-96E9-404E-81F6-2AFB944D8916},
