serialno,rt,division,puma,region,st,adjhsg,adjinc,wgtp,np,type,acr,ags,bds,bld,bus,conp,elep,fs,fulp,gasp,hfl,insp,mhp,mrgi,mrgp,mrgt,mrgx,rms,rntm,rntp,smp,tel,ten,vacs,val,veh,watp,ybl,fes,fincp,fparc,grntp,grpip,hhl,hht,hincp,hugcl,hupac,hupaoc,huparc,kit,lngi,mv,noc,npf,npp,nr,nrc,ocpip,partner,plm,psf,r18,r60,r65,resmode,smocp,smx,srnt,sval,taxp,wif,wkexrel,workstat,facrp,fagsp,fbdsp,fbldp,fbusp,fconp,felep,ffsp,ffulp,fgasp,fhflp,finsp,fkitp,fmhp,fmrgip,fmrgp,fmrgtp,fmrgxp,fmvp,fplmp,frmsp,frntmp,frntp,fsmp,fsmxhp,fsmxsp,ftaxp,ftelp,ftenp,fvacsp,fvalp,fvehp,fwatp,fyblp,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80,hinc_adj
2011001095334,H,5,702,3,12,1000000,1018237,13,4,1,1,,4,01,2,0000,180,2,0002,003,3,00550,01800,2,00690,2,1,6,,,,1,1,,06,1,0600,3,7,000012000,3,,,1,3,12000,0,3,3,3,1,1,5,03,04,0,0,03,101,0,1,0,1,0,0,1,01116,3,0,0,01,1,14,13,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,16,5,13,16,10,7,7,14,10,4,17,14,25,15,15,21,3,15,14,19,18,32,9,5,18,21,26,12,19,18,3,21,3,3,8,5,28,18,10,14,16,22,25,3,16,27,23,13,9,15,5,15,6,3,14,5,17,21,8,13,14,4,15,16,18,4,4,9,12,3,20,19,23,21,9,23,4,12,12218.8440000
2007000287215,H,5,702,3,12,1084729,1102938,13,4,1,1,,3,02,2,0000,270,2,0002,003,3,00760,,2,01100,2,1,6,,,,2,1,,15,3,0020,5,1,000077000,1,,,1,1,77000,0,1,1,1,1,1,2,02,04,0,0,02,024,0,1,0,1,0,0,1,01518,3,0,1,22,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,4,21,4,4,12,12,22,19,4,12,14,13,4,13,14,14,24,14,23,4,12,11,16,12,23,23,11,12,12,23,4,21,12,4,4,4,13,28,13,15,5,20,4,3,12,14,23,23,5,12,12,11,4,12,12,15,17,11,19,3,11,13,11,14,25,21,12,15,15,24,3,24,10,3,4,4,15,21,84926.25731822694000
2010000896533,H,5,701,3,12,1031543,1039407,13,2,1,1,,3,02,2,0000,170,2,0002,003,3,00980,,2,01100,1,1,6,,,,1,1,,18,2,0230,3,3,000064800,4,,,1,1,64800,0,4,4,4,1,1,4,00,02,0,0,00,025,0,1,0,0,1,0,2,01371,3,0,1,32,1,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,4,4,4,12,21,13,3,13,12,4,12,23,27,24,12,12,20,14,14,13,4,3,4,13,21,12,4,15,14,3,13,21,21,23,14,13,4,13,11,12,21,20,22,13,4,13,23,14,12,22,11,4,5,4,12,11,4,13,14,14,21,19,18,11,4,14,25,14,14,22,15,4,4,4,14,13,23,67353.59124056620800
2010000365146,H,5,701,3,12,1031543,1039407,11,2,1,1,,3,02,2,0000,220,2,0002,003,3,00660,,1,01100,1,1,5,,,,1,1,,15,2,0050,3,,,,,,1,5,84000,0,4,4,4,1,1,1,00,,0,1,00,019,2,1,0,0,0,0,1,01324,3,0,1,28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,2,10,11,3,11,17,3,4,19,9,9,19,11,19,10,10,17,11,3,12,3,12,13,3,10,18,3,3,17,11,9,18,9,17,12,12,3,11,17,11,19,11,10,20,11,3,20,17,3,11,10,4,11,3,11,10,4,10,20,11,16,12,11,18,11,2,17,19,3,10,10,3,11,3,10,10,17,87310.21086740064000
2009000922364,H,5,702,3,12,1048571,1048026,35,5,1,1,,4,01,2,0000,130,2,0002,003,4,,,,,,,7,2,00350,,1,3,,,0,0002,4,8,000003400,2,0480,018,1,3,31400,0,2,2,2,1,1,5,01,04,0,1,01,,0,1,0,1,0,0,2,,,1,0,,1,15,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,12,41,65,30,35,59,38,12,11,10,31,33,33,34,38,53,61,48,30,59,61,33,10,35,40,11,31,52,52,54,40,42,37,35,34,11,10,12,32,11,12,35,57,33,40,54,35,10,13,9,30,34,38,33,39,61,57,59,37,56,51,38,11,34,35,11,36,50,58,57,30,36,36,42,34,12,10,11,31,11,32908.02182769096000
2007000702399,H,5,702,3,12,1084729,1102938,15,2,1,2,1,3,01,2,0000,210,2,1300,020,2,00130,00000,2,00130,2,1,6,,,,1,1,,06,2,0430,4,1,000076000,4,,,1,1,76000,0,4,4,4,1,1,6,00,02,0,0,00,008,0,1,0,0,0,0,1,00528,3,0,0,05,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,4,14,24,24,22,15,4,22,15,14,15,16,4,5,17,16,14,4,16,14,15,24,13,15,13,4,14,17,24,4,27,29,18,14,4,4,26,16,27,4,29,15,5,4,4,13,25,4,15,13,14,14,25,26,16,14,13,25,14,16,17,4,17,16,15,25,14,15,4,28,4,5,15,14,26,23,5,16,83823.31891149672000
2007000544557,H,5,701,3,12,1084729,1102938,16,2,1,1,,3,02,2,0000,330,2,0002,003,3,00800,,1,00780,1,1,7,,,,1,1,,18,2,0030,4,2,000329000,4,,,1,1,329000,0,4,4,4,1,1,6,00,02,0,0,00,004,0,1,0,0,0,0,1,01113,3,0,1,18,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,17,25,23,18,5,16,4,24,4,15,4,14,28,29,17,4,15,26,4,5,26,15,13,28,17,28,15,16,19,5,13,5,16,17,4,15,26,16,15,16,14,4,5,15,27,17,26,5,28,17,24,14,5,4,17,26,15,5,26,27,5,14,15,4,16,5,17,16,15,30,15,26,17,15,28,14,4,17,362866.73581424238000
2007000580319,H,5,702,3,12,1084729,1102938,9,4,1,1,,3,02,2,0000,200,2,0002,003,3,00700,,1,00750,1,1,6,,,00210,2,1,,17,2,0060,5,1,000079000,1,,,1,1,79000,0,1,1,1,1,1,4,02,04,0,0,02,018,0,1,0,1,0,0,1,01165,2,0,1,25,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,3,3,2,8,14,9,3,9,8,3,8,14,13,15,9,8,3,9,9,8,13,16,16,9,3,9,13,8,9,14,8,3,2,3,9,8,2,10,9,11,17,13,14,9,3,8,14,10,8,14,7,3,2,3,10,7,14,10,8,7,2,2,3,10,11,8,3,8,9,2,11,13,14,16,8,9,12,87132.13413168738000
2007001139199,H,5,702,3,12,1084729,1102938,17,3,1,2,1,3,02,2,0000,350,2,0002,003,3,01400,,1,00500,1,1,9,,,,1,1,,18,3,0070,5,3,000083000,4,,,1,1,83000,0,4,4,4,1,1,6,00,03,0,0,00,012,0,1,0,0,2,1,1,00856,3,0,1,01,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,27,6,6,28,14,13,15,16,27,14,15,17,4,11,6,18,14,5,24,16,5,34,27,8,21,16,7,18,6,24,18,14,43,18,22,21,14,20,6,23,25,5,7,25,25,16,32,14,25,16,19,14,6,16,4,15,17,5,30,19,6,28,29,6,15,17,4,18,8,14,17,17,34,14,19,22,15,20,91543.88775860826000
2010001399359,H,5,701,3,12,1031543,1039407,31,1,1,,,0,06,,0000,100,2,0002,003,3,,,,,,,1,2,00360,,1,3,,,1,0480,5,,,,0500,,4,6,0,0,4,4,4,1,2,1,00,,0,0,00,,0,1,0,0,0,0,1,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,27,56,33,10,28,39,42,33,29,8,27,40,35,11,16,26,6,43,45,33,47,48,33,39,46,9,38,11,10,25,13,51,31,39,37,38,27,11,11,13,32,24,11,36,38,38,9,42,33,66,34,28,11,45,45,37,58,30,20,27,11,9,36,24,12,40,22,56,41,47,42,7,29,48,27,11,44,37,52,0.00000000000000
