,from_state,to_state,from_day,time_interval_mean,time_interval_count
0,4,8,0,8.100,113
1,4,8,1,8.053,49
2,4,8,2,8.000,34
3,4,8,3,8.000,20
4,4,8,4,8.000,15
5,4,8,5,8.000,12
6,4,8,6,8.000,4
7,4,8,7,8.000,6
8,4,8,8,8.000,2
9,4,8,9,8.000,4
10,4,8,13,8.000,1
