,from_state,to_state,from_day,time_interval_mean,time_interval_count
0,4,8,0,8.100,94
1,4,8,1,8.067,63
2,4,8,2,8.000,47
3,4,8,3,8.000,23
4,4,8,4,8.000,15
5,4,8,5,8.000,4
6,4,8,6,8.000,4
7,4,8,7,8.000,3
8,4,8,8,8.000,3
9,4,8,9,8.000,1
10,4,8,10,8.000,2
11,4,8,12,8.000,1
