from_id,to_id,from_state,to_state,from_time,to_time
170941, 170941, 1, 4, 0.000000, 0.900000
61884, 61884, 1, 4, 0.000000, 0.900000
169814, 169814, 1, 4, 0.000000, 0.900000
150443, 150443, 1, 4, 0.000000, 0.900000
231052, 231052, 1, 4, 0.000000, 0.900000
260484, 260484, 1, 4, 0.000000, 0.900000
23943, 23943, 1, 4, 0.000000, 0.900000
29250, 29250, 1, 4, 0.000000, 0.900000
42838, 42838, 1, 4, 0.000000, 0.900000
196237, 196237, 1, 4, 0.000000, 1.000000
21194, 21194, 1, 4, 0.000000, 1.000000
221485, 221485, 1, 4, 0.000000, 1.000000
185133, 185133, 1, 4, 0.000000, 1.000000
158345, 158345, 1, 4, 0.000000, 1.000000
80858, 80858, 1, 4, 0.000000, 1.000000
38469, 38469, 1, 4, 0.000000, 1.000000
101837, 101837, 1, 4, 0.000000, 1.000000
124420, 124420, 1, 4, 0.000000, 1.100000
136328, 136328, 1, 4, 0.000000, 1.100000
2133, 2133, 1, 4, 0.000000, 1.100000
257743, 257743, 1, 4, 0.000000, 1.100000
40444, 40444, 1, 4, 0.000000, 1.200000
159183, 159183, 1, 4, 0.000000, 1.200000
236455, 236455, 1, 4, 0.000000, 1.200000
172043, 172043, 1, 4, 0.000000, 1.200000
47675, 47675, 1, 4, 0.000000, 1.200000
37510, 37510, 1, 4, 0.000000, 1.200000
237051, 237051, 1, 4, 0.000000, 1.200000
199878, 199878, 1, 4, 0.000000, 1.300000
96354, 96354, 1, 4, 0.000000, 1.300000
114007, 114007, 1, 4, 0.000000, 1.300000
256555, 256555, 1, 4, 0.000000, 1.300000
224924, 224924, 1, 4, 0.000000, 1.300000
167574, 167574, 1, 4, 0.000000, 1.300000
71078, 71078, 1, 4, 0.000000, 1.300000
213763, 213763, 1, 4, 0.000000, 1.400000
231319, 231319, 1, 4, 0.000000, 1.400000
40090, 40090, 1, 4, 0.000000, 1.400000
217004, 217004, 1, 4, 0.000000, 1.400000
198013, 198013, 1, 4, 0.000000, 1.500000
125243, 125243, 1, 4, 0.000000, 1.500000
506, 506, 1, 4, 0.000000, 1.500000
182085, 182085, 1, 4, 0.000000, 1.500000
98099, 98099, 1, 4, 0.000000, 1.600000
130446, 130446, 1, 4, 0.000000, 1.600000
87316, 87316, 1, 4, 0.000000, 1.600000
223554, 223554, 1, 4, 0.000000, 1.600000
203518, 203518, 1, 4, 0.000000, 1.600000
64957, 64957, 1, 4, 0.000000, 1.600000
130752, 130752, 1, 4, 0.000000, 1.700000
60395, 60395, 1, 4, 0.000000, 1.700000
51591, 51591, 1, 4, 0.000000, 1.700000
182253, 182253, 1, 4, 0.000000, 1.700000
116946, 116946, 1, 4, 0.000000, 1.700000
34290, 34290, 1, 4, 0.000000, 1.800000
70672, 70672, 1, 4, 0.000000, 1.800000
68769, 68769, 1, 4, 0.000000, 1.900000
146802, 146802, 1, 4, 0.000000, 1.900000
205216, 205216, 1, 4, 0.000000, 1.900000
29314, 29314, 1, 4, 0.000000, 1.900000
690, 690, 1, 4, 0.000000, 1.900000
214299, 214299, 1, 4, 0.000000, 1.900000
199440, 199440, 1, 4, 0.000000, 2.000000
200631, 200631, 1, 4, 0.000000, 2.000000
37783, 37783, 1, 4, 0.000000, 2.000000
162635, 162635, 1, 4, 0.000000, 2.000000
187037, 187037, 1, 4, 0.000000, 2.100000
12194, 12194, 1, 4, 0.000000, 2.100000
224112, 224112, 1, 4, 0.000000, 2.100000
58409, 58409, 1, 4, 0.000000, 2.100000
256897, 256897, 1, 4, 0.000000, 2.100000
259278, 259278, 1, 4, 0.000000, 2.200000
25800, 25800, 1, 4, 0.000000, 2.200000
252799, 252799, 1, 4, 0.000000, 2.300000
15587, 15587, 1, 4, 0.000000, 2.300000
150063, 150063, 1, 4, 0.000000, 2.300000
34401, 34401, 1, 4, 0.000000, 2.300000
162223, 162223, 1, 4, 0.000000, 2.300000
96006, 96006, 1, 4, 0.000000, 2.300000
183876, 183876, 1, 4, 0.000000, 2.400000
147248, 147248, 1, 4, 0.000000, 2.400000
112210, 112210, 1, 4, 0.000000, 2.400000
141563, 141563, 1, 4, 0.000000, 2.400000
213925, 213925, 1, 4, 0.000000, 2.400000
133114, 133114, 1, 4, 0.000000, 2.400000
100059, 100059, 1, 4, 0.000000, 2.400000
110592, 110592, 1, 4, 0.000000, 2.500000
88754, 88754, 1, 4, 0.000000, 2.500000
257717, 257717, 1, 4, 0.000000, 2.600000
24655, 24655, 1, 4, 0.000000, 2.600000
42761, 42761, 1, 4, 0.000000, 2.600000
251716, 251716, 1, 4, 0.000000, 2.600000
216476, 216476, 1, 4, 0.000000, 2.600000
190412, 190412, 1, 4, 0.000000, 2.700000
166526, 166526, 1, 4, 0.000000, 2.700000
27180, 27180, 1, 4, 0.000000, 2.700000
29918, 29918, 1, 4, 0.000000, 2.999999
30112, 30112, 1, 4, 0.000000, 2.999999
213270, 213270, 1, 4, 0.000000, 2.999999
224630, 224630, 1, 4, 0.000000, 3.199999
117444, 117444, 1, 4, 0.000000, 3.199999
46179, 46179, 1, 4, 0.000000, 3.199999
119400, 119400, 1, 4, 0.000000, 3.199999
73863, 73863, 1, 4, 0.000000, 3.199999
230771, 230771, 1, 4, 0.000000, 3.299999
239046, 239046, 1, 4, 0.000000, 3.299999
124688, 124688, 1, 4, 0.000000, 3.399999
174415, 174415, 1, 4, 0.000000, 3.399999
80228, 80228, 1, 4, 0.000000, 3.399999
158704, 158704, 1, 4, 0.000000, 3.499999
255133, 255133, 1, 4, 0.000000, 3.499999
195800, 195800, 1, 4, 0.000000, 3.599999
108454, 108454, 1, 4, 0.000000, 3.599999
219909, 219909, 1, 4, 0.000000, 3.599999
40798, 40798, 1, 4, 0.000000, 3.699999
103361, 103361, 1, 4, 0.000000, 3.699999
72148, 72148, 1, 4, 0.000000, 3.699999
36064, 36064, 1, 4, 0.000000, 3.899998
235403, 235403, 1, 4, 0.000000, 3.899998
168696, 168696, 1, 4, 0.000000, 3.999998
98304, 98304, 1, 4, 0.000000, 3.999998
104369, 104369, 1, 4, 0.000000, 4.099998
244547, 244547, 1, 4, 0.000000, 4.199998
17071, 17071, 1, 4, 0.000000, 4.199998
44012, 44012, 1, 4, 0.000000, 4.299998
212694, 212694, 1, 4, 0.000000, 4.299998
58238, 58238, 1, 4, 0.000000, 4.399998
138150, 138150, 1, 4, 0.000000, 4.399998
27279, 27279, 1, 4, 0.000000, 4.599998
101332, 101332, 1, 4, 0.000000, 4.799998
239799, 239799, 1, 4, 0.000000, 4.899998
245757, 245757, 1, 4, 0.000000, 4.899998
237665, 237665, 1, 4, 0.000000, 4.999998
106659, 106659, 1, 4, 0.000000, 4.999998
206820, 206820, 1, 4, 0.000000, 5.099998
159717, 159717, 1, 4, 0.000000, 5.299997
35490, 35490, 1, 4, 0.000000, 5.299997
192740, 192740, 1, 4, 0.000000, 5.599997
94340, 94340, 1, 4, 0.000000, 5.799997
50804, 50804, 1, 4, 0.000000, 5.799997
8476, 8476, 1, 4, 0.000000, 5.999997
3067, 3067, 1, 4, 0.000000, 6.099997
184380, 184380, 1, 4, 0.000000, 6.199996
46761, 46761, 1, 4, 0.000000, 6.399996
189966, 189966, 1, 4, 0.000000, 7.099996
130740, 130740, 1, 4, 0.000000, 7.399995
103326, 103326, 4, 8, 0.000000, 8.099995
83247, 83247, 4, 8, 0.000000, 8.099995
45968, 45968, 4, 8, 0.000000, 8.099995
189636, 189636, 4, 8, 0.000000, 8.099995
41451, 41451, 4, 8, 0.000000, 8.099995
130654, 130654, 4, 8, 0.000000, 8.099995
218859, 218859, 4, 8, 0.000000, 8.099995
155549, 155549, 4, 8, 0.000000, 8.099995
260190, 260190, 4, 8, 0.000000, 8.099995
102683, 102683, 4, 8, 0.000000, 8.099995
152395, 152395, 4, 8, 0.000000, 8.099995
15939, 15939, 4, 8, 0.000000, 8.099995
253502, 253502, 4, 8, 0.000000, 8.099995
229646, 229646, 4, 8, 0.000000, 8.099995
251944, 251944, 4, 8, 0.000000, 8.099995
199235, 199235, 4, 8, 0.000000, 8.099995
19404, 19404, 4, 8, 0.000000, 8.099995
246512, 246512, 4, 8, 0.000000, 8.099995
34527, 34527, 4, 8, 0.000000, 8.099995
54689, 54689, 4, 8, 0.000000, 8.099995
31963, 31963, 4, 8, 0.000000, 8.099995
114377, 114377, 4, 8, 0.100000, 8.199995
241171, 241171, 4, 8, 0.100000, 8.199995
104255, 104255, 4, 8, 0.100000, 8.199995
176203, 176203, 4, 8, 0.100000, 8.199995
227894, 227894, 4, 8, 0.100000, 8.199995
169101, 169101, 4, 8, 0.100000, 8.199995
224858, 224858, 4, 8, 0.100000, 8.199995
188809, 188809, 4, 8, 0.100000, 8.199995
6761, 6761, 4, 8, 0.100000, 8.199995
150993, 150993, 4, 8, 0.100000, 8.199995
224581, 224581, 4, 8, 0.100000, 8.199995
55526, 55526, 4, 8, 0.100000, 8.199995
135855, 135855, 4, 8, 0.100000, 8.199995
122511, 122511, 4, 8, 0.100000, 8.199995
193522, 193522, 4, 8, 0.100000, 8.199995
184820, 184820, 4, 8, 0.200000, 8.299995
49372, 49372, 4, 8, 0.200000, 8.299995
16622, 16622, 4, 8, 0.200000, 8.299995
194683, 194683, 4, 8, 0.200000, 8.299995
172947, 172947, 4, 8, 0.200000, 8.299995
245957, 245957, 4, 8, 0.200000, 8.299995
99940, 99940, 4, 8, 0.200000, 8.299995
257918, 257918, 4, 8, 0.200000, 8.299995
222302, 222302, 4, 8, 0.200000, 8.299995
164628, 164628, 4, 8, 0.200000, 8.299995
18251, 18251, 4, 8, 0.200000, 8.299995
172441, 172441, 4, 8, 0.200000, 8.299995
202529, 202529, 4, 8, 0.200000, 8.299995
153515, 153515, 1, 4, 0.000000, 8.399996
55284, 55284, 4, 8, 0.300000, 8.399996
85090, 85090, 4, 8, 0.300000, 8.399996
66269, 66269, 4, 8, 0.300000, 8.399996
24788, 24788, 4, 8, 0.300000, 8.399996
133315, 133315, 4, 8, 0.300000, 8.399996
148482, 148482, 4, 8, 0.300000, 8.399996
157375, 157375, 4, 8, 0.300000, 8.399996
124477, 124477, 4, 8, 0.300000, 8.399996
127936, 127936, 4, 8, 0.300000, 8.399996
139658, 139658, 4, 8, 0.300000, 8.399996
61659, 61659, 4, 8, 0.300000, 8.399996
237367, 237367, 4, 8, 0.300000, 8.399996
197339, 197339, 4, 8, 0.400000, 8.499996
191570, 191570, 4, 8, 0.400000, 8.499996
65975, 65975, 4, 8, 0.400000, 8.499996
142728, 142728, 4, 8, 0.400000, 8.499996
213090, 213090, 4, 8, 0.400000, 8.499996
88798, 88798, 4, 8, 0.400000, 8.499996
32695, 32695, 4, 8, 0.400000, 8.499996
72998, 72998, 4, 8, 0.500000, 8.599997
50554, 50554, 4, 8, 0.500000, 8.599997
125690, 125690, 4, 8, 0.500000, 8.599997
78124, 78124, 4, 8, 0.500000, 8.599997
164908, 164908, 4, 8, 0.500000, 8.599997
50205, 50205, 4, 8, 0.500000, 8.599997
210559, 210559, 4, 8, 0.500000, 8.599997
83827, 83827, 4, 8, 0.500000, 8.599997
55842, 55842, 4, 8, 0.500000, 8.599997
147153, 147153, 4, 8, 0.500000, 8.599997
164788, 164788, 4, 8, 0.500000, 8.599997
153605, 153605, 4, 8, 0.500000, 8.599997
190229, 190229, 4, 8, 0.600000, 8.699997
240104, 240104, 4, 8, 0.600000, 8.699997
212330, 212330, 4, 8, 0.600000, 8.699997
240740, 240740, 4, 8, 0.600000, 8.699997
200122, 200122, 4, 8, 0.600000, 8.699997
157336, 157336, 4, 8, 0.600000, 8.699997
219807, 219807, 4, 8, 0.600000, 8.699997
94184, 94184, 4, 8, 0.600000, 8.699997
124308, 124308, 4, 8, 0.600000, 8.699997
224455, 224455, 4, 8, 0.600000, 8.699997
132865, 132865, 4, 8, 0.600000, 8.699997
46490, 46490, 1, 4, 0.000000, 8.799997
203888, 203888, 4, 8, 0.700000, 8.799997
251012, 251012, 4, 8, 0.700000, 8.799997
180728, 180728, 4, 8, 0.700000, 8.799997
209358, 209358, 4, 8, 0.700000, 8.799997
154593, 154593, 4, 8, 0.700000, 8.799997
217568, 217568, 4, 8, 0.700000, 8.799997
110962, 110962, 4, 8, 0.700000, 8.799997
125900, 125900, 4, 8, 0.700000, 8.799997
249700, 249700, 4, 8, 0.700000, 8.799997
46165, 46165, 4, 8, 0.800000, 8.899998
213210, 213210, 4, 8, 0.800000, 8.899998
234368, 234368, 4, 8, 0.800000, 8.899998
91146, 91146, 4, 8, 0.800000, 8.899998
173998, 173998, 4, 8, 0.800000, 8.899998
181681, 181681, 4, 8, 0.800000, 8.899998
50524, 50524, 4, 8, 0.800000, 8.899998
84939, 84939, 1, 4, 0.000000, 8.999998
30286, 30286, 4, 8, 0.900000, 8.999998
242247, 242247, 4, 8, 0.900000, 8.999998
58507, 58507, 4, 8, 0.900000, 8.999998
170941, 170941, 4, 8, 0.900000, 8.999998
61884, 61884, 4, 8, 0.900000, 8.999998
169814, 169814, 4, 8, 0.900000, 8.999998
150443, 150443, 4, 8, 0.900000, 8.999998
231052, 231052, 4, 8, 0.900000, 8.999998
260484, 260484, 4, 8, 0.900000, 8.999998
23943, 23943, 4, 8, 0.900000, 8.999998
29250, 29250, 4, 8, 0.900000, 8.999998
42838, 42838, 4, 8, 0.900000, 8.999998
196237, 196237, 4, 8, 1.000000, 9.099998
21194, 21194, 4, 8, 1.000000, 9.099998
221485, 221485, 4, 8, 1.000000, 9.099998
185133, 185133, 4, 8, 1.000000, 9.099998
158345, 158345, 4, 8, 1.000000, 9.099998
80858, 80858, 4, 8, 1.000000, 9.099998
38469, 38469, 4, 8, 1.000000, 9.099998
101837, 101837, 4, 8, 1.000000, 9.099998
124420, 124420, 4, 8, 1.100000, 9.199999
136328, 136328, 4, 8, 1.100000, 9.199999
257743, 257743, 4, 8, 1.100000, 9.199999
2133, 2133, 4, 8, 1.100000, 9.199999
237051, 237051, 4, 8, 1.200000, 9.299999
40444, 40444, 4, 8, 1.200000, 9.299999
159183, 159183, 4, 8, 1.200000, 9.299999
236455, 236455, 4, 8, 1.200000, 9.299999
172043, 172043, 4, 8, 1.200000, 9.299999
47675, 47675, 4, 8, 1.200000, 9.299999
37510, 37510, 4, 8, 1.200000, 9.299999
71078, 71078, 4, 8, 1.300000, 9.400000
199878, 199878, 4, 8, 1.300000, 9.400000
167574, 167574, 4, 8, 1.300000, 9.400000
96354, 96354, 4, 8, 1.300000, 9.400000
114007, 114007, 4, 8, 1.300000, 9.400000
256555, 256555, 4, 8, 1.300000, 9.400000
224924, 224924, 4, 8, 1.300000, 9.400000
182085, 182085, 4, 8, 1.500000, 9.500000
506, 506, 4, 8, 1.500000, 9.500000
213763, 213763, 4, 8, 1.400000, 9.500000
231319, 231319, 4, 8, 1.400000, 9.500000
40090, 40090, 4, 8, 1.400000, 9.500000
217004, 217004, 4, 8, 1.400000, 9.500000
198013, 198013, 4, 8, 1.500000, 9.500000
125243, 125243, 4, 8, 1.500000, 9.500000
64957, 64957, 4, 8, 1.600000, 9.600000
203518, 203518, 4, 8, 1.600000, 9.600000
98099, 98099, 4, 8, 1.600000, 9.600000
130446, 130446, 4, 8, 1.600000, 9.600000
87316, 87316, 4, 8, 1.600000, 9.600000
223554, 223554, 4, 8, 1.600000, 9.600000
116946, 116946, 4, 8, 1.700000, 9.700001
182253, 182253, 4, 8, 1.700000, 9.700001
51591, 51591, 4, 8, 1.700000, 9.700001
130752, 130752, 4, 8, 1.700000, 9.700001
60395, 60395, 4, 8, 1.700000, 9.700001
70672, 70672, 4, 8, 1.800000, 9.800001
34290, 34290, 4, 8, 1.800000, 9.800001
214299, 214299, 4, 8, 1.900000, 9.900002
690, 690, 4, 8, 1.900000, 9.900002
29314, 29314, 4, 8, 1.900000, 9.900002
68769, 68769, 4, 8, 1.900000, 9.900002
146802, 146802, 4, 8, 1.900000, 9.900002
205216, 205216, 4, 8, 1.900000, 9.900002
162635, 162635, 4, 8, 2.000000, 10.000002
37783, 37783, 4, 8, 2.000000, 10.000002
200631, 200631, 4, 8, 2.000000, 10.000002
199440, 199440, 4, 8, 2.000000, 10.000002
256897, 256897, 4, 8, 2.100000, 10.100002
58409, 58409, 4, 8, 2.100000, 10.100002
224112, 224112, 4, 8, 2.100000, 10.100002
187037, 187037, 4, 8, 2.100000, 10.100002
12194, 12194, 4, 8, 2.100000, 10.100002
25800, 25800, 4, 8, 2.200000, 10.200003
259278, 259278, 4, 8, 2.200000, 10.200003
96006, 96006, 4, 8, 2.300000, 10.300003
162223, 162223, 4, 8, 2.300000, 10.300003
34401, 34401, 4, 8, 2.300000, 10.300003
252799, 252799, 4, 8, 2.300000, 10.300003
15587, 15587, 4, 8, 2.300000, 10.300003
150063, 150063, 4, 8, 2.300000, 10.300003
100059, 100059, 4, 8, 2.400000, 10.400003
133114, 133114, 4, 8, 2.400000, 10.400003
213925, 213925, 4, 8, 2.400000, 10.400003
183876, 183876, 4, 8, 2.400000, 10.400003
147248, 147248, 4, 8, 2.400000, 10.400003
112210, 112210, 4, 8, 2.400000, 10.400003
141563, 141563, 4, 8, 2.400000, 10.400003
88754, 88754, 4, 8, 2.500000, 10.500004
110592, 110592, 4, 8, 2.500000, 10.500004
216476, 216476, 4, 8, 2.600000, 10.600004
251716, 251716, 4, 8, 2.600000, 10.600004
42761, 42761, 4, 8, 2.600000, 10.600004
24655, 24655, 4, 8, 2.600000, 10.600004
257717, 257717, 4, 8, 2.600000, 10.600004
27180, 27180, 4, 8, 2.700000, 10.700005
166526, 166526, 4, 8, 2.700000, 10.700005
190412, 190412, 4, 8, 2.700000, 10.700005
213270, 213270, 4, 8, 2.999999, 11.000006
30112, 30112, 4, 8, 2.999999, 11.000006
29918, 29918, 4, 8, 2.999999, 11.000006
229025, 229025, 1, 4, 0.000000, 11.200006
73863, 73863, 4, 8, 3.199999, 11.200006
119400, 119400, 4, 8, 3.199999, 11.200006
46179, 46179, 4, 8, 3.199999, 11.200006
117444, 117444, 4, 8, 3.199999, 11.200006
224630, 224630, 4, 8, 3.199999, 11.200006
239046, 239046, 4, 8, 3.299999, 11.300007
230771, 230771, 4, 8, 3.299999, 11.300007
80228, 80228, 4, 8, 3.399999, 11.400007
174415, 174415, 4, 8, 3.399999, 11.400007
124688, 124688, 4, 8, 3.399999, 11.400007
255133, 255133, 4, 8, 3.499999, 11.500008
158704, 158704, 4, 8, 3.499999, 11.500008
219909, 219909, 4, 8, 3.599999, 11.600008
108454, 108454, 4, 8, 3.599999, 11.600008
195800, 195800, 4, 8, 3.599999, 11.600008
72148, 72148, 4, 8, 3.699999, 11.700008
103361, 103361, 4, 8, 3.699999, 11.700008
40798, 40798, 4, 8, 3.699999, 11.700008
235403, 235403, 4, 8, 3.899998, 11.900009
36064, 36064, 4, 8, 3.899998, 11.900009
98304, 98304, 4, 8, 3.999998, 12.000010
168696, 168696, 4, 8, 3.999998, 12.000010
104369, 104369, 4, 8, 4.099998, 12.100010
17071, 17071, 4, 8, 4.199998, 12.200010
244547, 244547, 4, 8, 4.199998, 12.200010
212694, 212694, 4, 8, 4.299998, 12.300011
44012, 44012, 4, 8, 4.299998, 12.300011
138150, 138150, 4, 8, 4.399998, 12.400011
58238, 58238, 4, 8, 4.399998, 12.400011
27279, 27279, 4, 8, 4.599998, 12.600012
101332, 101332, 4, 8, 4.799998, 12.800013
245757, 245757, 4, 8, 4.899998, 12.900013
239799, 239799, 4, 8, 4.899998, 12.900013
106659, 106659, 4, 8, 4.999998, 13.000013
237665, 237665, 4, 8, 4.999998, 13.000013
206820, 206820, 4, 8, 5.099998, 13.100014
35490, 35490, 4, 8, 5.299997, 13.300014
159717, 159717, 4, 8, 5.299997, 13.300014
192740, 192740, 4, 8, 5.599997, 13.600016
50804, 50804, 4, 8, 5.799997, 13.800016
