FID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,SHAPE_Length,SHAPE_Area
396,32784,750,42,Marion,Marion-32784,Umatilla,Umatilla,642,Marion-32784,,0,0,0.537941861,0.009008032
397,32789,751,48,Orange,Orange-32789,Winter Park,"Eatonville, Maitland, Orlando, Winter Park, Fairview Shores",711,Orange-32789,Winter Park,33,33,0.296316415,0.002326889
398,32792,753,48,Orange,Orange-32792,Winter Park,"Orlando, Casselberry, Winter Park, Goldenrod",712,Orange-32792,"Aloma, Winter Park",29,29,0.273097113,0.001429924
399,32792,754,59,Seminole,Seminole-32792,Winter Park,"Casselberry, Winter Park, Goldenrod",1007,Seminole-32792,,0,0,0.222238235,0.001559215
400,32796,755,5,Brevard,Brevard-32796,Titusville,"Titusville, Mims",50,Brevard-32796,Titusville,7,7,0.692389664,0.009920942
401,32798,759,48,Orange,Orange-32798,Zellwood,"Apopka, Tangerine, Zellwood",713,Orange-32798,Zellwood,<5,-2,0.141612299,6.38E-04
402,32801,760,48,Orange,Orange-32801,Orlando,Orlando,714,Orange-32801,Orlando,30,30,0.142198455,5.61E-04
403,32803,761,48,Orange,Orange-32803,Orlando,"Orlando, Winter Park, Fairview Shores",715,Orange-32803,Orlando,32,32,0.247280613,0.001848354
404,32804,762,48,Orange,Orange-32804,Orlando,"Orlando, Fairview Shores",716,Orange-32804,Orlando,9,9,0.212634193,0.001931175
405,32805,763,48,Orange,Orange-32805,Orlando,"Orlando, Holden Heights",717,Orange-32805,Orlando,44,44,0.243928757,0.001967822
406,32806,764,48,Orange,Orange-32806,Orlando,"Belle Isle, Edgewood, Orlando, Conway, Holden Heights",718,Orange-32806,Orlando,36,36,0.232891425,0.00183328
407,32807,765,48,Orange,Orange-32807,Orlando,"Orlando, Winter Park, Azalea Park",719,Orange-32807,"Azalea Park, Orlando",50,50,0.262670855,0.002041348
408,32808,766,48,Orange,Orange-32808,Orlando,"Orlando, Fairview Shores, Lockhart, Orlovista, Pine Hills",720,Orange-32808,"Orlando, Pine Hills",74,74,0.26280299,0.003015036
409,32809,767,48,Orange,Orange-32809,Orlando,"Belle Isle, Edgewood, Orlando, Oak Ridge, Pine Castle, Sky Lake",721,Orange-32809,"Belle Isle, Orlando",56,56,0.437552448,0.003001793
410,32810,768,48,Orange,Orange-32810,Orlando,"Altamonte Springs, Eatonville, Maitland, Orlando, Clarcona, Fairview Shores, Lockhart, Pine Hills",722,Orange-32810,Orlando,40,40,0.334482767,0.002367981
411,32811,770,48,Orange,Orange-32811,Orlando,"Orlando, Orlovista",723,Orange-32811,Orlando,72,72,0.206640493,0.001841933
412,32812,771,48,Orange,Orange-32812,Orlando,"Belle Isle, Orlando, Conway",724,Orange-32812,"Belle Isle, Orlando",57,57,0.313208296,0.002289246
413,32814,772,48,Orange,Orange-32814,Orlando,"Orlando, Winter Park",725,Orange-32814,Orlando,8,8,0.107828832,3.61E-04
414,32815,773,5,Brevard,Brevard-32815,Orlando,Orlando,51,Brevard-32815,,0,0,1.429463647,0.03316327
415,32816,775,48,Orange,Orange-32816,Orlando,"Orlando, University",726,Orange-32816,,0,0,0.065708468,2.13E-04
416,32817,777,48,Orange,Orange-32817,Orlando,"Alafaya, Goldenrod, Union Park, University",727,Orange-32817,Orlando,31,31,0.288255575,0.00302108
417,32818,779,48,Orange,Orange-32818,Orlando,"Ocoee, Clarcona, Orlovista, Pine Hills",728,Orange-32818,Orlando,72,72,0.442922031,0.002932797
418,32819,780,48,Orange,Orange-32819,Orlando,"Orlando, Bay Hill, Doctor Phillips, Lake Butler, Tangelo Park, Williamsburg",729,Orange-32819,Orlando,80,80,0.488018224,0.005649978
419,32820,781,48,Orange,Orange-32820,Orlando,"Bithlo, Christmas",730,Orange-32820,Orlando,14,14,0.388768242,0.006374557
420,32821,782,48,Orange,Orange-32821,Orlando,"Bay Lake, Lake Buena Vista, Williamsburg",731,Orange-32821,Orlando,45,45,0.34934374,0.003208937
421,32822,784,48,Orange,Orange-32822,Orlando,"Orlando, Azalea Park, Conway",732,Orange-32822,Orlando,145,145,0.346997556,0.003244726
422,32824,785,48,Orange,Orange-32824,Orlando,"Belle Isle, Orlando, Meadow Woods, Southchase, Taft",733,Orange-32824,Orlando,142,142,0.553594975,0.00766841
423,32825,787,48,Orange,Orange-32825,Orlando,"Alafaya, Rio Pinar, Union Park, University",734,Orange-32825,Orlando,86,86,0.478344772,0.005522625
424,32826,788,48,Orange,Orange-32826,Orlando,"Alafaya, University",735,Orange-32826,Orlando,15,15,0.249116736,0.002054821
425,32827,790,48,Orange,Orange-32827,Orlando,Orlando,736,Orange-32827,Orlando,21,21,0.497042732,0.006967093
426,32828,792,48,Orange,Orange-32828,Orlando,"Alafaya, Bithlo, University, Wedgefield",737,Orange-32828,"Alafaya, Orlando",86,86,0.379507285,0.005175947
427,32829,793,48,Orange,Orange-32829,Orlando,"Orlando, Alafaya, Rio Pinar",738,Orange-32829,Orlando,37,37,0.376391853,0.004531179
428,32830,794,48,Orange,Orange-32830,Orlando,"Bay Lake, Lake Buena Vista, Horizon West",739,Orange-32830,,0,0,0.460133041,0.005782576
429,32831,796,48,Orange,Orange-32831,Orlando,"Orlando, Alafaya, Wedgefield",740,Orange-32831,,0,0,0.24692179,0.001817741
430,32832,797,48,Orange,Orange-32832,Orlando,"Orlando, Alafaya, Lake Hart, Lake Mary Jane, Wedgefield",741,Orange-32832,Orlando,43,43,0.524413929,0.015765502
431,32833,799,48,Orange,Orange-32833,Orlando,"Alafaya, Bithlo, Christmas, Wedgefield",742,Orange-32833,Orlando,<5,-2,0.636665904,0.015178096
432,32835,800,48,Orange,Orange-32835,Orlando,"Orlando, Gotha, Lake Butler, Orlovista",743,Orange-32835,Orlando,46,46,0.242770456,0.002779243
